report_no,incident_time,complaint_type,cctv_flag,area_code,victim_code,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,case_status_code,case_status_desc,crime_code,crime_type,weapon_code,weapon_desc,week_number
200104379,13:10:00,In-Person,FALSE,336,10069,568526,Abbie,M,30,Yes,2,No,1029,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104381,13:05:00,Phone,FALSE,425,9223,1234038,Lorie,M,33,Yes,2,No,2036,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",1
200104382,12:30:00,In-Person,FALSE,261,51958,1459681,Nia,M,34,Yes,3,No,1023,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104385,14:50:00,Phone,FALSE,1001,41976,967655,Rene,M,31,Yes,3,No,3256,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104389,12:30:00,Phone,FALSE,322,26925,1950647,John,M,30,Yes,4,No,4011,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104390,14:58:00,In-Person,FALSE,425,116648,212450,Cornelia,M,36,Yes,6,No,4112,IC,"Invest Cont",354,"THEFT OF IDENTITY",513,"STUN GUN",1
200104392,18:30:00,Phone,FALSE,322,120175,2333158,Marcy,M,39,Yes,3,No,4011,IC,"Invest Cont",480,"BIKE - STOLEN",504,"DEMAND NOTE",1
200104393,13:30:00,In-Person,FALSE,425,40829,958481,Bernadine,M,34,Yes,4,No,3261,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104405,17:00:00,Phone,FALSE,425,107320,1500337,Rodger,M,31,Yes,3,No,2036,IC,"Invest Cont",331,"THEFT FROM MOTOR VEHICLE - GRA",312,"PIPE/METAL PIPE",1
200104406,13:00:00,Phone,FALSE,261,44290,1189276,Katy,M,41,Yes,3,No,4011,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104408,22:00:00,In-Person,FALSE,223,78763,489162,Devon,M,31,Yes,1,No,2039,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104410,09:20:00,In-Person,FALSE,371,66142,313001,Zander,M,41,Yes,6,No,3246,IC,"Invest Cont",662,"BUNCO, GRAND THEFT",512,"MACE/PEPPER SPRAY",1
200104411,23:00:00,In-Person,FALSE,261,98206,572956,Virgie,M,39,Yes,7,No,1023,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",1
200104414,19:00:00,Phone,FALSE,425,2991,2363716,Roscoe,M,31,Yes,1,No,3261,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104416,19:30:00,In-Person,FALSE,336,12872,1501143,Ladonna,M,33,Yes,3,No,3246,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,2
200104417,21:00:00,Phone,FALSE,336,30137,400817,Tobias,M,33,Yes,4,No,1029,IC,"Invest Cont",236,"INTIMATE PARTNER - AGGRAVATED",205,"KITCHEN KNIFE",2
200104419,22:30:00,In-Person,FALSE,336,50422,851610,Robbie,M,31,Yes,3,No,1029,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104420,01:00:00,In-Person,FALSE,336,32919,837972,Rosalyn,M,37,Yes,3,No,3246,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104422,18:00:00,Phone,FALSE,323,104653,93024,Mauricio,M,30,Yes,3,No,1023,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104429,19:00:00,In-Person,FALSE,371,119543,1516724,Jayden,M,40,Yes,3,No,3246,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",2
200104430,09:55:00,Phone,TRUE,425,106497,928895,Ayla,M,41,Yes,1,No,3261,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104431,19:00:00,Phone,FALSE,322,53400,991421,Harriett,M,34,Yes,1,No,1023,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104432,14:00:00,Phone,TRUE,425,119981,2276344,Christi,M,40,Yes,3,No,2036,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104435,19:00:00,Phone,TRUE,336,48758,230873,Lacy,M,34,Yes,3,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104440,01:21:00,Phone,TRUE,323,97065,1074540,Judah,M,40,Yes,2,No,4011,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104443,20:30:00,In-Person,FALSE,425,40859,1948142,Kiera,M,41,Yes,1,No,2036,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104444,01:00:00,Phone,TRUE,336,110686,287402,Malinda,M,39,Yes,5,No,3246,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104449,07:35:00,Phone,FALSE,336,99999,65378,Maddison,M,37,Yes,4,No,3246,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104450,09:05:00,In-Person,FALSE,425,28881,559590,Corrine,M,41,Yes,7,No,2036,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104451,07:45:00,In-Person,FALSE,322,13668,58389,Madalyn,M,35,Yes,7,No,4011,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104452,09:20:00,Phone,FALSE,322,16692,1499509,Emerson,M,37,Yes,3,No,1023,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104455,04:00:00,In-Person,FALSE,990,63684,1178451,Mara,M,37,Yes,3,No,2037,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104456,13:00:00,Phone,TRUE,261,48021,916931,Elnora,M,34,Yes,3,No,1023,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104459,19:40:00,Phone,TRUE,322,11679,2208196,Dorian,M,35,Yes,4,No,3247,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104462,17:58:00,Phone,FALSE,425,14936,66036,Susana,M,36,Yes,5,No,3261,IC,"Invest Cont",480,"BIKE - STOLEN",504,"DEMAND NOTE",2
200104466,10:20:00,In-Person,FALSE,1001,122147,562937,Kaylie,M,33,Yes,3,No,5555,IC,"Invest Cont",860,"BATTERY WITH SEXUAL CONTACT",201,"KNIFE WITH BLADE OVER 6 INCHES",2
200104470,19:30:00,Phone,FALSE,323,108450,259719,Erwin,M,40,Yes,3,No,4011,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104473,12:00:00,In-Person,TRUE,336,44924,1336960,Brendon,M,37,Yes,3,No,1029,IC,"Invest Cont",331,"THEFT FROM MOTOR VEHICLE - GRA",312,"PIPE/METAL PIPE",2
200104474,18:30:00,In-Person,FALSE,425,121683,1720878,Rhett,M,39,Yes,4,No,3261,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",2
200104475,09:00:00,Phone,FALSE,336,20696,453846,Skye,M,39,Yes,3,No,3246,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104476,21:30:00,In-Person,TRUE,990,37965,954695,Tabatha,M,31,Yes,1,No,2037,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104477,15:00:00,Phone,TRUE,336,7139,1018230,Tanisha,M,32,Yes,3,No,1029,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,2
200104488,04:30:00,Phone,FALSE,261,122577,1678132,Elton,M,41,Yes,3,No,4011,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",2
200104489,08:00:00,Phone,FALSE,425,85302,1248152,Johnie,M,36,Yes,7,No,3261,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104498,21:40:00,Phone,FALSE,371,79354,1635567,Ruthie,M,33,Yes,1,No,1029,IC,"Invest Cont",220,"ATTEMPTED ROBBERY",219,SCREWDRIVER,2
200104499,19:00:00,In-Person,TRUE,322,13068,171366,Silvia,M,36,Yes,2,No,4011,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104500,20:00:00,Phone,TRUE,990,33174,356616,Elyse,M,39,Yes,3,No,2037,IC,"Invest Cont",625,"OTHER ASSAULT",104,SHOTGUN,2
200104501,03:15:00,Phone,TRUE,261,33825,777661,Neva,M,41,Yes,7,No,1023,AA,"Adult Arrest",350,"THEFT, PERSON",221,GLASS,2
200104503,01:17:00,Phone,FALSE,371,12545,2168178,Nathanael,M,30,Yes,3,No,4004,IC,"Invest Cont",755,"BOMB SCARE",301,"BELT FLAILING INSTRUMENT/CHAIN",2
200104505,19:17:00,In-Person,FALSE,425,13700,621357,Noreen,M,36,Yes,4,No,3261,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",2
200104507,03:00:00,Phone,FALSE,1001,109499,2178817,Kamryn,M,31,Yes,7,No,5100,IC,"Invest Cont",331,"THEFT FROM MOTOR VEHICLE - GRA",312,"PIPE/METAL PIPE",2
200104511,04:00:00,In-Person,FALSE,1001,103780,1007841,Sammie,M,33,Yes,4,No,5555,AA,"Adult Arrest",236,"INTIMATE PARTNER - AGGRAVATED",205,"KITCHEN KNIFE",2
200104513,20:00:00,In-Person,TRUE,990,17841,2064919,Marlin,M,31,Yes,6,No,3262,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104522,20:20:00,Phone,TRUE,990,15403,1309603,Mavis,M,30,Yes,3,No,3262,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104524,01:00:00,Phone,TRUE,990,37612,1868653,Keaton,M,32,Yes,3,No,2037,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104526,15:00:00,Phone,TRUE,261,87012,839668,Titus,M,32,Yes,3,No,1023,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104527,10:00:00,Phone,TRUE,990,31401,974208,Karissa,M,33,Yes,4,No,2037,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104534,09:50:00,In-Person,TRUE,261,53688,168991,Cadence,M,32,Yes,3,No,1023,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104545,05:10:00,Phone,FALSE,323,57014,319817,Christian,M,30,Yes,2,No,1023,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104547,17:53:00,Phone,FALSE,336,80047,1014118,Lauryn,M,30,Yes,1,No,3246,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104548,17:30:00,Phone,TRUE,223,111228,1033265,Elinor,M,35,Yes,6,No,4111,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104549,01:00:00,Phone,FALSE,223,16115,328632,Noemi,M,40,Yes,6,No,4111,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104550,08:45:00,In-Person,TRUE,322,29215,1896162,Raphael,M,30,Yes,3,No,1023,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104551,13:00:00,In-Person,FALSE,371,118391,1644249,Vaughn,M,39,Yes,1,No,1029,IC,"Invest Cont",761,"BRANDISH WEAPON",307,VEHICLE,2
200104556,02:00:00,Phone,FALSE,223,22720,872957,Leonel,M,35,Yes,2,No,4111,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104558,08:20:00,Phone,FALSE,990,13967,1102479,Kurtis,M,32,Yes,1,No,2037,IC,"Invest Cont",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",2
200104573,05:40:00,Phone,FALSE,990,57998,1467585,Nova,M,36,Yes,3,No,3262,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104576,16:00:00,In-Person,FALSE,990,123247,2380769,Jase,M,36,Yes,1,No,2037,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104577,19:00:00,In-Person,FALSE,323,100775,1048605,Yasmin,M,33,Yes,3,No,4011,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104578,23:50:00,In-Person,TRUE,336,69879,265258,Tatum,M,40,Yes,2,No,3246,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",2
200104579,19:20:00,Phone,FALSE,223,59278,653448,Kristian,M,36,Yes,3,No,4111,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",2
200104580,16:30:00,In-Person,TRUE,990,97853,534312,Barrett,M,30,Yes,3,No,2037,IC,"Invest Cont",480,"BIKE - STOLEN",504,"DEMAND NOTE",2
200104582,08:00:00,Phone,FALSE,336,11101,757706,Elwood,M,36,Yes,3,No,1029,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104584,01:00:00,In-Person,TRUE,371,102948,1784735,Elvin,M,34,Yes,6,No,3246,IC,"Invest Cont",662,"BUNCO, GRAND THEFT",512,"MACE/PEPPER SPRAY",2
200104586,16:10:00,Phone,FALSE,223,38829,1130234,Norbert,M,35,Yes,3,No,4111,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104588,01:00:00,Phone,FALSE,261,11905,2278426,Dorthy,M,39,Yes,3,No,1023,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104590,17:50:00,Phone,TRUE,990,34598,715923,Gale,M,30,Yes,4,No,3262,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",2
200104594,21:45:00,Phone,TRUE,336,43461,880915,Lia,M,36,Yes,3,No,1029,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104598,22:00:00,Phone,TRUE,990,21174,564128,Reynaldo,M,34,Yes,3,No,3262,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",2
200104603,07:00:00,Phone,TRUE,223,12605,969204,Nelda,M,40,Yes,2,No,4111,AA,"Adult Arrest",480,"BIKE - STOLEN",504,"DEMAND NOTE",2
200104606,00:30:00,In-Person,FALSE,371,22627,1313871,Phil,M,37,Yes,3,No,3246,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104609,15:55:00,Phone,TRUE,990,55270,224019,Ashton,M,41,Yes,3,No,3259,IC,"Invest Cont",220,"ATTEMPTED ROBBERY",219,SCREWDRIVER,2
200104610,17:30:00,In-Person,FALSE,223,16406,2246656,Tristen,M,37,Yes,1,No,4111,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104613,08:00:00,In-Person,TRUE,371,69255,1893402,Dolly,M,36,Yes,3,No,2035,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104616,19:30:00,Phone,TRUE,990,77255,1136804,Romeo,M,33,Yes,3,No,3262,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104617,14:15:00,Phone,TRUE,990,122137,334572,Louisa,M,37,Yes,3,No,3262,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104619,13:00:00,In-Person,FALSE,261,97852,899217,Aden,M,33,Yes,3,No,1023,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104657,10:15:00,In-Person,FALSE,223,63240,1514806,Terrie,M,35,Yes,6,No,4111,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104658,09:30:00,In-Person,FALSE,223,66334,1288202,Latisha,M,36,Yes,6,No,4444,IC,"Invest Cont",946,"OTHER MISCELLANEOUS CRIME",204,"FOLDING KNIFE",2
200104660,23:30:00,Phone,TRUE,990,108970,2292692,Catalina,M,36,Yes,1,No,3262,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104663,15:39:00,Phone,TRUE,223,121724,1745120,Perla,M,35,Yes,6,No,4111,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",2
200104664,19:00:00,Phone,FALSE,336,114274,1428551,Derick,M,35,Yes,6,No,3246,AA,"Adult Arrest",236,"INTIMATE PARTNER - AGGRAVATED",205,"KITCHEN KNIFE",2
200104670,21:00:00,Phone,FALSE,990,82377,1535000,Mikaela,M,31,Yes,6,No,3262,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104673,10:00:00,Phone,FALSE,336,91864,1197181,Adalyn,M,32,Yes,5,No,1029,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104674,21:30:00,In-Person,FALSE,990,112246,1565976,Maura,M,31,Yes,6,No,3262,AA,"Adult Arrest",236,"INTIMATE PARTNER - AGGRAVATED",205,"KITCHEN KNIFE",2
200104682,16:50:00,Phone,TRUE,371,534,2185143,Precious,M,37,Yes,6,No,3246,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104683,14:45:00,Phone,TRUE,336,9069,1814348,Alessandra,M,33,Yes,4,No,1029,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104690,14:00:00,Phone,FALSE,322,82003,2269985,Nathalie,M,41,Yes,6,No,1023,IC,"Invest Cont",331,"THEFT FROM MOTOR VEHICLE - GRA",312,"PIPE/METAL PIPE",2
200104691,19:00:00,Phone,FALSE,371,28974,711242,Carmella,M,31,Yes,6,No,3246,IC,"Invest Cont",350,"THEFT, PERSON",221,GLASS,2
200104696,08:55:00,Phone,TRUE,990,103350,126106,Susanna,M,41,Yes,4,No,3262,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104697,18:30:00,Phone,FALSE,371,3913,676626,Melisa,M,39,Yes,1,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104700,18:45:00,Phone,FALSE,223,27809,683947,Baylee,M,31,Yes,6,No,4111,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104702,04:35:00,Phone,FALSE,261,66103,293387,Vicente,M,31,Yes,6,No,1023,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",2
200104703,14:00:00,In-Person,TRUE,223,83414,1170582,Aron,M,37,Yes,1,No,4111,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104704,21:00:00,Phone,TRUE,223,39187,1845741,Sybil,M,31,Yes,6,No,4111,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104706,14:40:00,Phone,TRUE,990,8086,739039,Paxton,M,40,Yes,6,No,2037,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104708,14:30:00,In-Person,TRUE,371,13258,1250061,Cash,M,40,Yes,4,No,3246,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104711,22:00:00,In-Person,FALSE,990,56276,2121496,Jayda,M,35,Yes,6,No,2037,IC,"Invest Cont",815,"SEXUAL PENETRATION W/FOREIGN O",110,"SEMI-AUTOMATIC RIFLE",2
200104713,11:00:00,Phone,FALSE,223,51140,1036343,Danna,M,41,Yes,2,No,4111,IC,"Invest Cont",900,"VIOLATION OF COURT ORDER",223,"UNKNOWN TYPE CUTTING INSTRUMEN",2
200104715,10:45:00,Phone,TRUE,336,117296,1842409,Kelsie,M,32,Yes,6,No,7010,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104717,11:30:00,In-Person,TRUE,425,4723,2319430,Kassidy,M,40,Yes,1,No,4005,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104718,13:15:00,Phone,TRUE,371,32093,1868152,Esperanza,M,30,Yes,5,No,1029,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104719,12:00:00,In-Person,FALSE,990,9522,468012,Sage,M,39,Yes,6,No,2037,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104721,07:00:00,Phone,TRUE,990,61619,50273,Emely,M,30,Yes,6,No,3260,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104726,13:30:00,Phone,FALSE,371,43994,1049743,Hollie,M,32,Yes,3,No,1029,AA,"Adult Arrest",310,BURGLARY,113,"SIMULATED GUN",2
200104727,10:30:00,Phone,TRUE,223,46590,10192,Dollie,M,37,Yes,5,No,4111,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104734,21:00:00,In-Person,TRUE,223,57688,1348646,Macie,M,41,Yes,6,No,4111,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104735,21:00:00,Phone,TRUE,990,68656,1195738,Georgina,M,41,Yes,6,No,1024,AA,"Adult Arrest",220,"ATTEMPTED ROBBERY",219,SCREWDRIVER,2
200104736,00:10:00,In-Person,TRUE,990,117200,1480787,Brenton,M,39,Yes,6,No,2037,IC,"Invest Cont",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",2
200104737,00:40:00,In-Person,TRUE,336,21281,939147,Scotty,M,40,Yes,6,No,1029,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,2
200104738,00:40:00,In-Person,FALSE,261,18580,283655,Gus,M,34,Yes,6,No,3247,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,2
200104739,23:35:00,In-Person,TRUE,322,17526,1722947,Bryanna,M,33,Yes,6,No,2034,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104740,21:00:00,In-Person,TRUE,990,13508,1933911,Dona,M,35,Yes,2,No,1024,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,2
200104741,10:00:00,In-Person,TRUE,990,76341,366004,Zayden,M,35,Yes,5,No,3262,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104742,22:58:00,Phone,TRUE,990,114870,196603,Marcel,M,33,Yes,2,No,1024,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104743,14:00:00,Phone,TRUE,990,9976,1232013,Annika,M,39,Yes,1,No,2037,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,2
200104744,02:20:00,Phone,FALSE,261,17304,1173250,Nyla,M,39,Yes,3,No,3247,IC,"Invest Cont",320,"BURGLARY, ATTEMPTED",114,"AIR PISTOL/REVOLVER/RIFLE/BB G",2
200104745,23:45:00,In-Person,TRUE,323,86544,1451827,Annmarie,M,41,Yes,6,No,3247,AA,"Adult Arrest",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104749,20:00:00,In-Person,TRUE,322,59035,1042463,Kiley,M,40,Yes,6,No,3247,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104750,07:20:00,Phone,FALSE,336,61487,884298,Pierre,M,33,Yes,6,No,3246,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104752,10:45:00,Phone,FALSE,261,29421,1399487,Dion,M,33,Yes,6,No,3247,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104754,10:15:00,Phone,FALSE,990,2750,1127580,Adalynn,M,35,Yes,6,No,3262,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104755,09:54:00,Phone,FALSE,261,12089,1541076,Valarie,M,36,Yes,6,No,3247,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",2
200104759,12:00:00,Phone,FALSE,223,3124,826751,Claudette,M,32,Yes,6,No,4111,IC,"Invest Cont",910,KIDNAPPING,308,STICK,2
200104761,19:00:00,Phone,TRUE,261,4823,101162,Ashley,M,36,Yes,6,No,3247,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104762,02:00:00,Phone,TRUE,371,82589,1513830,Ariel,M,41,Yes,6,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104763,04:00:00,Phone,TRUE,990,118490,33282,Katlyn,M,30,Yes,6,No,3262,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",2
200104765,09:00:00,In-Person,TRUE,990,84744,1023322,Adolph,M,30,Yes,6,No,2037,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",2
200104766,04:00:00,In-Person,FALSE,322,117190,195645,River,M,39,Yes,3,No,3248,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",2
200104768,12:30:00,In-Person,FALSE,990,24770,664532,Caiden,M,33,Yes,2,No,1028,IC,"Invest Cont",662,"BUNCO, GRAND THEFT",512,"MACE/PEPPER SPRAY",2
200104769,15:35:00,Phone,FALSE,223,10956,2318334,Abbey,M,39,Yes,6,No,4111,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",2
200104770,14:50:00,In-Person,FALSE,893,62507,923652,Beverley,M,30,Yes,6,No,4003,IC,"Invest Cont",350,"THEFT, PERSON",221,GLASS,2
